"cuenta","nombre_cuenta","nombre_entidad","valor"
"100000","ACTIVO","BANCIEN S.A.","1639420691042.09"
"100000","ACTIVO","ITAU COLOMBIA S.A.","27294183967798.2"
"100000","ACTIVO","COOPKENNEDY","1160768155172.3"
"100000","ACTIVO","PAGOS INTERNACIONALES","46052530049.05"
"100000","ACTIVO","BANCO AGRARIO DE COLOMBIA S.A.","28123776121577.37"
"100000","ACTIVO","BANCOLOMBIA S.A.","186787586731437.25"
"100000","ACTIVO","COLTEFINANCIERA S.A.","715498230556.51"
"100000","ACTIVO","CREDIFAMILIA COPAÑIA DE FINANC S.A.","499201534666.1"
"100000","ACTIVO","GIROS Y FINANZAS  S.A. C.F","903604635976.81"
"100000","ACTIVO","FINANCIERA JURISCOOP S.A.","1155859186030.11"
"100000","ACTIVO","BANCO W S.A.","2228047974868.61"
"100000","ACTIVO","BANCO SANTANDER","4015850045117.08"
"100000","ACTIVO","CONFIAR COOPERATIVA FINANCIERA","1220943969167"
"100000","ACTIVO","LA HIPOTECARIA COMPAÑÍA DE FIN S.A.","376957134946.75"
"100000","ACTIVO","BANCO SERFINANZA S.A.","2124227754789.42"
"100000","ACTIVO","BANCO GNB SUDAMERIS S.A.","31487424551418.23"
"100000","ACTIVO","COOP FINANC EMPRESAS PUBL COOFINEP","281412222007"
"100000","ACTIVO","BANCO DE OCCIDENTE S.A.","43009001032149.97"
"100000","ACTIVO","BANCO CAJA SOCIAL S.A.","16159639021403.3"
"100000","ACTIVO","BANCO FALABELLA S.A.","4335132459828"
"100000","ACTIVO","BANCO MUNDO MUJER S.A.","2170462321518.58"
"100000","ACTIVO","IRIS CF COMPAÑIA DE FINANCIAMIEN SA","429972966556.01"
"100000","ACTIVO","BANCO COOMEVA S.A.","4268531735702"
"100000","ACTIVO","COMPAÑIA DE FINANCIAMIENTO TUYA S.A","3247296010333.81"
"100000","ACTIVO","SCOTIABANK COLPATRIA S.A.","34383031662766.6"
"100000","ACTIVO","COTRAFA COOPERATIVA FINANCIERA","928824002949"
"100000","ACTIVO","GM FINANCIAL COLOMBIA S.A.","2047445379085"
"100000","ACTIVO","COOPERATIVA FINANCIERA DE ANTIOQUIA","554819882644.29"
"100000","ACTIVO","BANCO FINANDINA S.A.","2189234620345.18"
"100000","ACTIVO","RCI COLOMBIA S.A. COMPAÑIA DE FINAN","2272980034133.64"
"100000","ACTIVO","CITIBANK - COLOMBIA","10236302605484.57"
"100000","ACTIVO","BANCO POPULAR","27084930589568.1"
"100000","ACTIVO","EL BANCO COOPERATIVO COOPCENTRAL","1072461533211.85"
"100000","ACTIVO","CREZCAMOS COMPAÑIA DE FINANCIA S.A.","421046765865.06"
"100000","ACTIVO","BANCO DE BOGOTA S.A.","108490629633900.23"
"100000","ACTIVO","BANCO COMERCIAL AV VILLAS S.A.","15673202444125.89"
"100000","ACTIVO","BBVA COLOMBIA S.A.","70364271091776.66"
"100000","ACTIVO","BANCO DAVIVIENDA S.A.","107821533909254.5"
"100000","ACTIVO","BANCAMIA S.A.","1873096593426.39"
"100000","ACTIVO","BANCO PICHINCHA S.A.","2840807998748.35"
"100000","ACTIVO","MI BANCO S.A.","1174088368601.9"
"110000","EFECTIVO","BANCO MUNDO MUJER S.A.","238251643453.8"
"110000","EFECTIVO","COMPAÑIA DE FINANCIAMIENTO TUYA S.A","471970246063.57"
"110000","EFECTIVO","EL BANCO COOPERATIVO COOPCENTRAL","143209302725.98"
"110000","EFECTIVO","BANCIEN S.A.","251844957057.89"
"110000","EFECTIVO","BANCO COMERCIAL AV VILLAS S.A.","820017160592.27"
"110000","EFECTIVO","BANCO DAVIVIENDA S.A.","4905200406939.03"
"110000","EFECTIVO","CONFIAR COOPERATIVA FINANCIERA","195330112860"
"110000","EFECTIVO","BANCO POPULAR","1240890032930.01"
"110000","EFECTIVO","COLTEFINANCIERA S.A.","63544601449.29"
